dataset,split,threshold,records,positives,negatives,tp,fp,tn,fn,precision,recall,f1,accuracy
strict_binary,test,0.25,53,25,28,19,3,25,6,0.8636363636363636,0.76,0.8085106382978724,0.8301886792452831
strict_binary,test,0.3,53,25,28,18,3,25,7,0.8571428571428571,0.72,0.782608695652174,0.8113207547169812
strict_binary,test,0.4,53,25,28,17,3,25,8,0.85,0.68,0.7555555555555556,0.7924528301886793
strict_binary,test,0.5,53,25,28,16,2,26,9,0.8888888888888888,0.64,0.7441860465116279,0.7924528301886793
strict_binary,test,0.6,53,25,28,7,2,26,18,0.7777777777777778,0.28,0.4117647058823529,0.6226415094339622
strict_binary,test,0.7,53,25,28,5,1,27,20,0.8333333333333334,0.2,0.3225806451612903,0.6037735849056604
strict_binary,test,0.8,53,25,28,4,0,28,21,1.0,0.16,0.2758620689655173,0.6037735849056604
strict_binary,test,0.9,53,25,28,1,0,28,24,1.0,0.04,0.07692307692307693,0.5471698113207547
actionable_binary,train,0.0,278,166,112,166,112,0,0,0.5971223021582733,1.0,0.7477477477477478,0.5971223021582733
actionable_binary,train,0.02,278,166,112,139,63,49,27,0.6881188118811881,0.8373493975903614,0.7554347826086956,0.6762589928057554
actionable_binary,train,0.05,278,166,112,132,48,64,34,0.7333333333333333,0.7951807228915663,0.7630057803468209,0.7050359712230215
actionable_binary,train,0.1,278,166,112,123,41,71,43,0.75,0.7409638554216867,0.7454545454545456,0.697841726618705
actionable_binary,train,0.15,278,166,112,116,26,86,50,0.8169014084507042,0.6987951807228916,0.7532467532467533,0.7266187050359713
actionable_binary,train,0.2,278,166,112,108,16,96,58,0.8709677419354839,0.6506024096385542,0.7448275862068965,0.7338129496402878
actionable_binary,train,0.25,278,166,112,105,10,102,61,0.9130434782608695,0.6325301204819277,0.7473309608540925,0.7446043165467626
actionable_binary,train,0.3,278,166,112,97,7,105,69,0.9326923076923077,0.5843373493975904,0.7185185185185187,0.7266187050359713
actionable_binary,train,0.4,278,166,112,77,3,109,89,0.9625,0.463855421686747,0.6260162601626016,0.6690647482014388
actionable_binary,train,0.5,278,166,112,63,2,110,103,0.9692307692307692,0.3795180722891566,0.5454545454545454,0.6223021582733813
actionable_binary,train,0.6,278,166,112,36,1,111,130,0.972972972972973,0.21686746987951808,0.35467980295566504,0.5287769784172662
actionable_binary,train,0.7,278,166,112,22,1,111,144,0.9565217391304348,0.13253012048192772,0.2328042328042328,0.4784172661870504
actionable_binary,train,0.8,278,166,112,14,1,111,152,0.9333333333333333,0.08433734939759036,0.15469613259668508,0.44964028776978415
actionable_binary,train,0.9,278,166,112,6,0,112,160,1.0,0.03614457831325301,0.06976744186046512,0.4244604316546763
actionable_binary,test,0.0,70,42,28,42,28,0,0,0.6,1.0,0.7499999999999999,0.6
actionable_binary,test,0.02,70,42,28,40,17,11,2,0.7017543859649122,0.9523809523809523,0.8080808080808081,0.7285714285714285
actionable_binary,test,0.05,70,42,28,37,11,17,5,0.7708333333333334,0.8809523809523809,0.8222222222222222,0.7714285714285715
actionable_binary,test,0.1,70,42,28,35,9,19,7,0.7954545454545454,0.8333333333333334,0.8139534883720929,0.7714285714285715
actionable_binary,test,0.15,70,42,28,32,5,23,10,0.8648648648648649,0.7619047619047619,0.810126582278481,0.7857142857142857
actionable_binary,test,0.2,70,42,28,30,5,23,12,0.8571428571428571,0.7142857142857143,0.7792207792207793,0.7571428571428571
actionable_binary,test,0.25,70,42,28,23,3,25,19,0.8846153846153846,0.5476190476190477,0.6764705882352942,0.6857142857142857
actionable_binary,test,0.3,70,42,28,23,3,25,19,0.8846153846153846,0.5476190476190477,0.6764705882352942,0.6857142857142857
actionable_binary,test,0.4,70,42,28,17,3,25,25,0.85,0.40476190476190477,0.5483870967741935,0.6
actionable_binary,test,0.5,70,42,28,13,2,26,29,0.8666666666666667,0.30952380952380953,0.45614035087719296,0.5571428571428572
actionable_binary,test,0.6,70,42,28,10,2,26,32,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.5142857142857142
actionable_binary,test,0.7,70,42,28,7,1,27,35,0.875,0.16666666666666666,0.27999999999999997,0.4857142857142857
actionable_binary,test,0.8,70,42,28,3,0,28,39,1.0,0.07142857142857142,0.13333333333333333,0.44285714285714284
actionable_binary,test,0.9,70,42,28,0,0,28,42,0.0,0.0,0.0,0.4
